 YYYY   MM   DD   HH        RAINTOT              H        QoutBsn          HDam1         Dam1in        Dam1out          HDam2         Dam2in        Dam2out
 2013    6    8   20          0.131          0.025          10.548  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    8   21          0.352          0.019           8.130  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    8   22          0.131          0.018           7.483  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    8   23          0.065          0.023           9.955  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   24          0.281          0.016           6.952  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    1          0.851          0.024          10.014  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    2          1.095          0.025          10.497  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    3          0.937          0.028          11.756  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    4          0.831          0.032          13.470  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    5          0.812          0.044          18.781  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    6          0.937          0.062          26.338  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    7          0.851          0.069          29.437  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    8          1.069          0.073          31.117  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9    9          2.166          0.085          36.146  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   10          2.469          0.112          47.468  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   11          2.193          0.156          66.184  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   12          1.383          0.201          85.260  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   13          1.383          0.235          99.535  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   14          1.049          0.287         121.506  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   15          0.523          0.309         131.148  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   16          0.634          0.357         151.455  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   17          0.674          0.365         154.691  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   18          0.346          0.383         162.531  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   19          0.346          0.372         157.500  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   20          0.215          0.366         155.223  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   21          0.104          0.342         144.805  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   22          0.131          0.329         139.336  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6    9   23          0.104          0.322         136.304  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   24          0.078          0.308         130.368  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    1          0.078          0.289         122.448  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    2          0.026          0.268         113.454  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    3          0.026          0.247         104.832  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    4          0.000          0.229          96.867  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    5          0.000          0.213          90.151  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    6          0.000          0.199          84.171  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    7          0.033          0.185          78.327  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    8          0.000          0.172          72.904  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10    9          0.000          0.160          67.938  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   10          0.000          0.150          63.376  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   11          0.000          0.140          59.163  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   12          0.000          0.131          55.341  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   13          0.000          0.122          51.865  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   14          0.000          0.115          48.752  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   15          0.000          0.109          46.007  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   16          0.000          0.102          43.439  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   17          0.000          0.097          41.053  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   18          0.000          0.092          38.864  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   19          0.000          0.087          36.848  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   20          0.000          0.083          34.996  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   21          0.000          0.079          33.287  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   22          0.000          0.075          31.715  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   10   23          0.000          0.071          30.286  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   24          0.000          0.068          28.978  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    1          0.000          0.066          27.781  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    2          0.000          0.063          26.679  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    3          0.000          0.061          25.686  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    4          0.000          0.059          24.818  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    5          0.000          0.057          24.095  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    6          0.000          0.055          23.471  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    7          0.000          0.054          22.894  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    8          0.000          0.053          22.333  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
