 YYYY   MM   DD   HH        RAINTOT      Total(m3)  Saturated(m3)Unsaturated(m3)
 2013    6    8   20        0.13053             61212528.000             57564528.000             28342778.000
 2013    6    8   21        0.35243             61676588.000             58095908.000             28414100.000
 2013    6    8   22        0.13053             61821864.000             58306340.000             28440014.000
 2013    6    8   23        0.06526             61880664.000             58390492.000             28453302.000
 2013    6    9   24        0.28064             62244340.000             58797300.000             28502596.000
 2013    6    9    1        0.85123             63410356.000             60034100.000             28624788.000
 2013    6    9    2        1.09490             64921208.000             61534556.000             28755852.000
 2013    6    9    3        0.93672             66224980.000             62779044.000             28852742.000
 2013    6    9    4        0.83144             67362064.000             63833640.000             28926394.000
 2013    6    9    5        0.81174             68459536.000             64800352.000             28989018.000
 2013    6    9    6        0.93672             69717032.000             65783824.000             29053902.000
 2013    6    9    7        0.85123             70836680.000             66630996.000             29105806.000
 2013    6    9    8        1.06851             72242512.000             67656248.000             29161792.000
 2013    6    9    9        2.16574             75182320.000             69544472.000             29246408.000
 2013    6    9   10        2.46900             78526368.000             71684232.000             29316812.000
 2013    6    9   11        2.19320             81425048.000             73596848.000             29362302.000
 2013    6    9   12        1.38338             83102440.000             74792296.000             29379300.000
 2013    6    9   13        1.38338             84720512.000             75895336.000             29390928.000
 2013    6    9   14        1.04878             85803336.000             76693816.000             29397802.000
 2013    6    9   15        0.52274             86094392.000             77089400.000             29400630.000
 2013    6    9   16        0.63427             86501144.000             77519184.000             29402476.000
 2013    6    9   17        0.67368             86927272.000             77955720.000             29403572.000
 2013    6    9   18        0.34590             86870136.000             78154560.000             29402402.000
 2013    6    9   19        0.34590             86814800.000             78352712.000             29401022.000
 2013    6    9   20        0.21537             86593616.000             78464144.000             29399210.000
 2013    6    9   21        0.10443             86238712.000             78491672.000             29396774.000
 2013    6    9   22        0.13053             85953312.000             78537040.000             29394778.000
 2013    6    9   23        0.10443             85640016.000             78565936.000             29392648.000
 2013    6   10   24        0.07832             85309496.000             78578528.000             29390500.000
 2013    6   10    1        0.07832             85002376.000             78590592.000             29388498.000
 2013    6   10    2        0.02611             84650856.000             78568280.000             29386190.000
 2013    6   10    3        0.02611             84328488.000             78547456.000             29384056.000
 2013    6   10    4        0.00000             83998504.000             78509864.000             29381860.000
 2013    6   10    5        0.00000             83692512.000             78471792.000             29379828.000
 2013    6   10    6        0.00000             83406848.000             78433696.000             29377918.000
 2013    6   10    7        0.03263             83188888.000             78416448.000             29376458.000
 2013    6   10    8        0.00000             82942648.000             78380048.000             29374734.000
 2013    6   10    9        0.00000             82713416.000             78342504.000             29373176.000
 2013    6   10   10        0.00000             82501104.000             78306240.000             29371758.000
 2013    6   10   11        0.00000             82303424.000             78268888.000             29370418.000
 2013    6   10   12        0.00000             82118448.000             78231264.000             29369128.000
 2013    6   10   13        0.00000             81946792.000             78193928.000             29367888.000
 2013    6   10   14        0.00000             81787048.000             78157440.000             29366716.000
 2013    6   10   15        0.00000             81636432.000             78120472.000             29365624.000
 2013    6   10   16        0.00000             81495376.000             78083232.000             29364588.000
 2013    6   10   17        0.00000             81363544.000             78046456.000             29363606.000
 2013    6   10   18        0.00000             81238264.000             78009504.000             29362736.000
 2013    6   10   19        0.00000             81120744.000             77973688.000             29361966.000
 2013    6   10   20        0.00000             81010576.000             77939792.000             29361774.000
 2013    6   10   21        0.00000             80906648.000             77904176.000             29361120.000
 2013    6   10   22        0.00000             80808704.000             77868800.000             29360726.000
 2013    6   10   23        0.00000             80714576.000             77833144.000             29360104.000
 2013    6   11   24        0.00000             80624616.000             77795592.000             29359502.000
 2013    6   11    1        0.00000             80539192.000             77759296.000             29359114.000
 2013    6   11    2        0.00000             80457616.000             77721816.000             29358812.000
 2013    6   11    3        0.00000             80379104.000             77683592.000             29358372.000
 2013    6   11    4        0.00000             80304408.000             77647280.000             29358114.000
 2013    6   11    5        0.00000             80231536.000             77610904.000             29358022.000
 2013    6   11    6        0.00000             80162296.000             77576456.000             29357930.000
 2013    6   11    7        0.00000             80092472.000             77541328.000             29357708.000
 2013    6   11    8        0.00000             80025184.000             77504832.000             29357324.000
 2013    6   11    9        0.00000             79959392.000             77468832.000             29357046.000
 2013    6   11   10        0.00000             79894448.000             77431232.000             29356722.000
 2013    6   11   11        0.00000             79831856.000             77393328.000             29356426.000
 2013    6   11   12        0.00000             79770792.000             77357312.000             29356346.000
 2013    6   11   13        0.00000             79711744.000             77322008.000             29356240.000
 2013    6   11   14        0.00000             79653352.000             77286480.000             29355864.000
 2013    6   11   15        0.00000             79597152.000             77246888.000             29355696.000
 2013    6   11   16        0.00000             79540864.000             77208696.000             29355288.000
 2013    6   11   17        0.00000             79485672.000             77167480.000             29354876.000
 2013    6   11   18        0.00000             79431296.000             77123560.000             29354422.000
 2013    6   11   19        0.00000             79378128.000             77081144.000             29354298.000
 2013    6   11   20        0.00000             79325656.000             77037888.000             29353766.000
 2013    6   11   21        0.00000             79273288.000             76990040.000             29353176.000
 2013    6   11   22        0.00000             79222416.000             76942200.000             29352560.000
 2013    6   11   23        0.00000             79170888.000             76898120.000             29351950.000
 2013    6   12   24        0.00000             79120248.000             76853656.000             29351266.000
 2013    6   12    1        0.00000             79069656.000             76804064.000             29350520.000
 2013    6   12    2        0.00000             79019168.000             76759040.000             29349680.000
 2013    6   12    3        0.00000             78967528.000             76709352.000             29348790.000
 2013    6   12    4        0.00000             78918392.000             76662672.000             29347806.000
 2013    6   12    5        0.00000             78869064.000             76615456.000             29346694.000
 2013    6   12    6        0.00000             78821080.000             76566536.000             29345548.000
 2013    6   12    7        0.00000             78773696.000             76514784.000             29344316.000
 2013    6   12    8        0.00000             78725504.000             76464968.000             29342986.000
 2013    6   12    9        0.00000             78677912.000             76411864.000             29341620.000
 2013    6   12   10        0.00000             78631104.000             76361152.000             29340224.000
 2013    6   12   11        0.00000             78584144.000             76310776.000             29338712.000
 2013    6   12   12        0.00000             78537600.000             76263648.000             29337110.000
 2013    6   12   13        0.00000             78491072.000             76217520.000             29335468.000
 2013    6   12   14        0.00000             78445680.000             76168864.000             29333746.000
 2013    6   12   15        0.00000             78399824.000             76116080.000             29331966.000
 2013    6   12   16        0.00000             78355184.000             76064808.000             29330074.000
 2013    6   12   17        0.00000             78309936.000             76016984.000             29328164.000
 2013    6   12   18        0.00000             78265768.000             75964944.000             29326166.000
 2013    6   12   19        0.00000             78221824.000             75913896.000             29324124.000
 2013    6   12   20        0.00000             78177824.000             75867048.000             29322036.000
 2013    6   12   21        0.00000             78134640.000             75815696.000             29319884.000
 2013    6   12   22        0.00000             78091312.000             75768616.000             29317682.000
 2013    6   12   23        0.00000             78048312.000             75713112.000             29315470.000
 2013    6   13   24        0.00000             78005000.000             75663248.000             29313112.000
 2013    6   13    1        0.00000             77962536.000             75619240.000             29310814.000
 2013    6   13    2        0.00000             77919896.000             75570552.000             29308474.000
 2013    6   13    3        0.00000             77877496.000             75524864.000             29306062.000
 2013    6   13    4        0.00000             77835656.000             75478424.000             29303648.000
 2013    6   13    5        0.00000             77793512.000             75427432.000             29301240.000
 2013    6   13    6        0.00000             77751544.000             75372784.000             29298732.000
 2013    6   13    7        0.00000             77709912.000             75318512.000             29296226.000
 2013    6   13    8        0.00000             77667696.000             75271184.000             29293614.000
 2013    6   13    9        0.00000             77626064.000             75219552.000             29291020.000
 2013    6   13   10        0.00000             77583992.000             75170440.000             29288370.000
 2013    6   13   11        0.00000             77542384.000             75119416.000             29285686.000
 2013    6   13   12        0.00000             77500696.000             75070208.000             29282930.000
 2013    6   13   13        0.00000             77459152.000             75012336.000             29280134.000
 2013    6   13   14        0.00000             77418120.000             74962232.000             29277202.000
 2013    6   13   15        0.00000             77376608.000             74905592.000             29274344.000
 2013    6   13   16        0.00000             77335480.000             74856672.000             29271396.000
 2013    6   13   17        0.00000             77293824.000             74798408.000             29268312.000
 2013    6   13   18        0.00000             77252192.000             74746024.000             29265294.000
 2013    6   13   19        0.00000             77210800.000             74691440.000             29262038.000
 2013    6   13   20        0.00000             77169712.000             74645008.000             29258902.000
 2013    6   13   21        0.00000             77128456.000             74591352.000             29255680.000
 2013    6   13   22        0.00000             77087728.000             74542336.000             29252402.000
 2013    6   13   23        0.00000             77046984.000             74493680.000             29249138.000
 2013    6   14   24        0.00000             77005504.000             74436712.000             29245778.000
 2013    6   14    1        0.00000             76964976.000             74384152.000             29242374.000
 2013    6   14    2        0.00000             76924208.000             74334992.000             29239022.000
 2013    6   14    3        0.00000             76883192.000             74282024.000             29235576.000
 2013    6   14    4        0.00000             76842440.000             74230272.000             29231992.000
 2013    6   14    5        0.00000             76800984.000             74179232.000             29228520.000
 2013    6   14    6        0.00000             76759504.000             74128064.000             29224998.000
 2013    6   14    7        0.00000             76719208.000             74076160.000             29221408.000
 2013    6   14    8        0.00000             76678536.000             74023248.000             29217792.000
 2013    6   14    9        0.00000             76637336.000             73969704.000             29214146.000
